"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1841082373623984219","Tue Oct 01 11:46:58 +0000 2024","2"," Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club s hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe has created a stricter recruitment operation at the club. #MUFC @samuelluckhurst","1841082373623984219","","","en","","0","1","1","https://x.com/undefined/status/1841082373623984219","1472351281842905095",
"1841080088978182383","Tue Oct 01 11:37:53 +0000 2024","335","SKY SOURCES: Sir Jim Ratcliffe has reportedly held talks with Thomas Tuchel over replacing Erik Ten Hag as Manchester United manager. Read more: https://t.co/G5kT37Cz0N https://t.co/9BUuiqIGsT","1841080088978182383","https://pbs.twimg.com/media/GYzUWreWIAIAVJL.jpg","","en","","6","18","36","https://x.com/undefined/status/1841080088978182383","1627736996",
"1841029582817812878","Tue Oct 01 08:17:11 +0000 2024","0","Manchester United could be eyeing Bayer Leverkusen's Xabi Alonso as a potential replacement for Erik ten Hag with Sir Jim Ratcliffe possibly leading the chase. This could signal a significant change in the club's managerial direction. #MUFC #Alonso #Ten https://t.co/iK4u6hNI7C","1841029582817812878","","","en","","0","0","0","https://x.com/undefined/status/1841029582817812878","1356295934968213505",
"1841027925828608307","Tue Oct 01 08:10:36 +0000 2024","0","Simone Inzaghi has emerged as a top contender to replace Erik ten Hag at Manchester United if the Dutchman is sacked. After United's rough start to the season Co-owner Sir Jim Ratcliffe is expected to review Ten Hag s position during the upcoming international break. #MUFC https://t.co/a6sJIoFmSw","1841027925828608307","https://pbs.twimg.com/media/GYylAr5WAAU3-QN.jpg","","en","","0","1","0","https://x.com/undefined/status/1841027925828608307","1472951510518706181",
"1841025018194448547","Tue Oct 01 07:59:03 +0000 2024","47","Sir Jim Ratcliffe said 'the coach wasn't the central issue at Manchester United' last season. He is now #mufc https://t.co/toZucqJTwC","1841025018194448547","","","en","","0","2","5","https://x.com/undefined/status/1841025018194448547","304012650",
"1841018503375028720","Tue Oct 01 07:33:10 +0000 2024","0","Sir Jim Ratcliffe can't make the same claim about Erik ten Hag any more https://t.co/ieWBL1qZ4h #MUFC","1841018503375028720","","","en","","0","0","0","https://x.com/undefined/status/1841018503375028720","1397893615796600833",
"1841004225418940773","Tue Oct 01 06:36:26 +0000 2024","22","After dismal home displays how secure is Erik ten Hag at Manchester United? Following Manchester United's decision to retain Erik ten Hag and extend his contract until 2026 the club faces scrutiny after a 3-0 loss to Tottenham. The football department led by Sir Jim Ratcliffe https://t.co/uVhnVudgma","1841004225418940773","https://pbs.twimg.com/media/GYyPelyWUAMJ7kU.png","","en","","0","33","1","https://x.com/undefined/status/1841004225418940773","84178940",
"1840996032236146903","Tue Oct 01 06:03:52 +0000 2024","1"," Shock named linked to replace Erik ten Hag at Manchester United Sir Jim Ratcliffe will assess the situation during the international break later this month https://t.co/92ufd1v7zI","1840996032236146903","","","en","","0","0","1","https://x.com/undefined/status/1840996032236146903","479709882",
"1840871435608179124","Mon Sep 30 21:48:46 +0000 2024","2","Manchester United have a 'viable option' in mind to replace Erik ten Hag with Sir Jim Ratcliffe and the club directors 'alarmed'. https://t.co/bQwuwBsAGF","1840871435608179124","","","en","","1","3","2","https://x.com/undefined/status/1840871435608179124","23074840",
"1840863959345254658","Mon Sep 30 21:20:25 +0000 2024","20","Hell INEOS Sir Jim Barrada Ashworth all tried to tell you lot and you didn t want to listen. Erik Ten Hag will be Manchester United manager. The road will be tough. But he s committed and so am I. I m going to back him the players and be patient. Rebuilds are NEVER easy.","1840864300824424540","","utd_positive","en","","1","2","3","https://x.com/undefined/status/1840864300824424540","337360051",
"1840846334653579736","Mon Sep 30 20:09:02 +0000 2024","5"," BREAKING: Omar Berrada has scheduled an emergency meeting at Manchester United for Monday. Co-chairman Joel Glazer and Sir Jim Ratcliffe will be in attendance. #MUFC_FAMILY https://t.co/qH3ByA3KbS","1840846334653579736","https://pbs.twimg.com/media/GYv__DkXEAEyFaD.jpg","","en","","0","0","1","https://x.com/undefined/status/1840846334653579736","1666363911367544832",
"1840845468999340283","Mon Sep 30 20:05:35 +0000 2024","0","MRS SIR JIM RATCLIFFE MRS INEOS MRS SIR DAVE BRAILSFORD MRS JEAN CLAUDE- BLANC MRS OMAR BARRADA MRS DAN ASHWORTH MRS JASON WILCOX MRS CHRISTOPHER VIVELL IS THE GLAZER THEM DUPPY STILL AT MANCHESTER UNITED WHY ERICK TEN HAG DON'T GET THE SACK EARLY THIS MORNING ","1840845468999340283","","","en","","0","0","1","https://x.com/undefined/status/1840845468999340283","1829257700150038528",
"1840830945760591902","Mon Sep 30 19:07:53 +0000 2024","0","Hello Sir Jim Ratcliffe I beg of you please get rid of ErikTenHag Bruno Fernandes Marcus Trashford Diogo Dalot and See how the fortunes of Manchester United will get transformed. Please ! Please ! Next transfer window - the players The Coach - right now Hand over","1840830945760591902","","","en","","0","0","0","https://x.com/undefined/status/1840830945760591902","1443936953708122123",
"1840826170650267743","Mon Sep 30 18:48:54 +0000 2024","7","BREAKING: Omar Berrada has scheduled an emergency meeting at Manchester United for Monday. Co-chairman Joel Glazer and Sir Jim Ratcliffe will be in attendance. #MUFC","1840826170650267743","","","en","","0","3","0","https://x.com/undefined/status/1840826170650267743","1788391491947122690",
"1840812618145284527","Mon Sep 30 17:55:03 +0000 2024","0","Manchester United At a loss: Despite British billionaire Sir Jim Ratcliffe purchasing a 27.7% minority stake in the club earlier this year fortunes at Old Trafford have continued their downward trajectory. #ManUtd #MUFC #football #EPL #PremierLeague https://t.co/uw4QuQkqxV","1840812618145284527","","","en","","0","0","0","https://x.com/undefined/status/1840812618145284527","630231065",
"1840808559023460481","Mon Sep 30 17:38:55 +0000 2024","0","SIR JIM RATCLIFFE AND INEOS PLEASE DON'T FOLLOW THE GLAZER FOOTSTEP AT MANCHESTER UNITED GOING FORWARD 17.5M IS NOTHING TO GIVE ERICK TEN HAG FOR THE SACK","1840808559023460481","","","en","","0","0","0","https://x.com/undefined/status/1840808559023460481","1829257700150038528",
"1840792255503781948","Mon Sep 30 16:34:08 +0000 2024","0","Monday evening and tge handlers at Manchester United haven't fire ten hag? The Glazers sold 5% stake to Jim Ratcliffe just to punish those fans who had been #GlazersOut . In for the long run ladies and gentlemen","1840792255503781948","","","en","","0","0","0","https://x.com/undefined/status/1840792255503781948","1798462293014990848",
